6,m,キミはマイペースで悠々とした印象をあたえる人です。人あたりがソフトで温厚、包容力のある楽天家。また体力的にも精神的にも強く、常に輪の中心にいるタイプ。人見知りしない度胸があって、人望もあり、したたかな計算と様々なアイディアも合わせ持っています。そのため、物事を手がけた時の成功率はかなり高く、将来は大物になる可能性は十分アリ！幅広い視野を養っていくことが成功のカギになります。ただ結論まで時間がかかるので、即断即決はしない方がいいかも。じっくりと一つのことを分析していくような分野で能力が発揮するタイプ。,4,タフで勢いのあるあなたにふさわしいのは、プライドの高いライオン。女性の扱いに慣れていても多少てこずらされるが、そこがかえって魅力に。,7,お互いに即断即決することのない慎重さを持っていて、意見が合う。いつもは盛り上げ役のあなたも、子守熊がいると安心して任せられる。,3,仕事の上でも器用さを発揮するあなたは、黒ひょうの信頼を見事に勝ち取る。黒ひょうが率先して行動し、あなたが名参謀役で取りまとめを。
6,f,あなたがそこにいるだけで、周りが華やいだり、その場を楽しいムードにさせるオーラの持ち主。柔らかな外見からはわかりませんが、強烈な自我を内に秘めています。無意識のうちに損得勘定をするチャッカリ屋の面もあり。また、どんな環境でも自分の生きがいを見つけて、明るく生きていける純粋な素質も持っています。常に自分の心に忠実で、後悔することがあまりないのも特徴。姉御肌のあなたは、弱い立場の人を守るために立ち向かい、心を許した相手には誠心誠意尽くします。強い自我を上手に活かしながら、周囲とうまくやっていくタイプです。,3,スマートで優しい男性が理想的のあなたにとり、黒ひょうは憧れの人。ただ、言い寄られると構えてしまう性格が邪魔して、チャンスを逃すことも。,1,朗らかで明るいあなたはみんなから頼りにされ、友人関係も幅広い。でも、気を遣うばかりで本音で語り合える友人は多くない。猿なら理想的だ。,9,あなたの社交性は仕事情も大いに役立ち、キャリアウーマンとして生きていける。ひつじはよき理解者で、あうんの呼吸でリードしてくれる。
7,m,隙がなく、超然とした雰囲気を漂わせているキミ。どこか気高さを感じさせる人です。内面はプライドが高く、負けず嫌いで、正義感が強い性格の持ち主。自分の世界に土足で踏み込むような無神経人間は大嫌い！ダイナミックに生きることをモットーにしているので、世界中を飛び回っていたいと願っています。また、引っ越しや転職を繰り返したり、仕事や人間関係が大きく変わったり、変化に遭遇しやすい運気を持つタイプ。でも、プラス思考なので、問題が起きても積極的に対処し、それをチャンスに飛躍することができる人です！,6,周りとうまく強調していくあなたは、恋のチャンスに敏感。スピード感を大切にするので、おっとりしたたぬきは不思議な存在で魅力を感じる。,1,外見とは裏腹に非常にデリケートで常識的なあなたには、勝機にあふれ勝負強い猿はいい刺激になる。友好的ライバルとしてうまくやっていける。,12,仕事熱心だが他人の干渉を受けたくないので周りとの衝突もあるが、こじかが潤滑油になってくれる。ただ、それなりの努力は覚悟する必要も。
7,f,ハキハキとした態度の中に、秘めた色気があるあなた。でもホントは気が短く、神経過敏でシャープな面を持っています。一直線に突き進むあなたは、時にはかなりの頑固者になってしまいがち。そのため、若い時には周囲の人間や両親との衝突が絶えません。でも、上品な外見でそんな風には見えず、得をしているタイプ。発想の転換が早く、何でも楽しみながらやれる人なので、この相反する性格が人間的な魅力になればしめたもの。ダイナミックな一生を送りたいと思っているので、大きな目標を達成するまではチャレンジを絶対に止めません。,4,あなたの品の良さとライオンのプライドの高さがうまく調和し最高のカップルに。恋愛への考えもしっかりしていて好みもうるさいがお似合い。,11,ずばずばものを言う狼には時々カチンとくるが、狼はどうでもいい人には苦言を呈さないので、それは信頼度の証。友人としての相性はバッチリ。,3,あなたはじっくりと腰をすえて仕事に取り組むのが苦手だが、黒ひょうがうまくサポートしてくれる。お互いに一言多いので言葉には注意が必要。
8,m,キミは腰が低く温和で、イヤなことも顔に出さない、類を見ないほどのよい人です。社会的な成功には無関心を装っていますが、素晴らしい粘りと意志の強さで計画を実行に移し、着々と成果を上げていきます。ただ、考え過ぎて解決の糸口を見失うこともあるので気をつけるべし。また自分だけを信じているような独自の人生観を持っているのも特徴。何かにつまずいた時には、客観的に周りの意見に耳を貸すことも必要です。争い事が嫌いなので、安定した組織の中で実力を発揮するタイプ。仕事のパートナーとしてはかなり気にいられる存在です。,11,意思や感情を表に出さず腹にしまっておくあなただが、恋愛なら持ち前のファイトでアタック。独占欲が強いが、狼なら愛情を受け止めてくれる。,12,いつも一緒の二人だが、あまりに時間を共有しすぎるとお互い疲れてしまうし、適度な距離が必要。基本的には共通点も多くわかり合える関係。,10,気分に左右されるペガサスだが、我慢強く陰日向無く努力するあなたの強い見方。難しい人物にも気に入ってもらえるのがあなたの特技。
8,f,あなたは、少女のあどけなさと可憐さを残した、控えめでおとなしいタイプ。立ち振る舞いもおしとやかで、優しさにあふれていています。しかし、実はプライドがとても高く気まぐれで自分をコントロール出来ない感じが残る人。プライドがとっても高く、トップで輝くよりは一歩下がったところで、しっかりと自分を守った方が性に合っているかも。物事に粘り強く取り組んで、自分の中にある夢や考えを形にします。社会的な仕事や戸外の活動のほうが向いているみたい。人間関係は一時の強いつながりよりも、細くても永く続くことを望むタイプです。,10,普段は冷静さを売り物にしているあなたが、恋愛は驚く速さで突き進む。無いものねだりで、端正な雰囲気の理知的なペガサスに強く惹かれる。,1,いくつになっても変わらない友情を持ち続ける相性抜群の関係。一見共通点がないようにも思えるが、猿なら最高にして生涯の友になるはず。,7,お互いに共感できるところが多く、ビジネス上ではプラスに作用。几帳面にフォローしてくれる頼もしい子守熊がいれば、あなたの良さが強調される。
9,m,ちょっとそそっかしくて、明るくてフランクな人柄のキミ。その明るさがすべての幸運の鍵です。好奇心が旺盛なのでなんでも首をつっこんじゃうタイプ。知らないことはそのまんまにはしておけず、どんなことも深く極めたい欲張り屋さんです。また活動的で研究熱心なキミは発想豊かで、いつもアイディア満載。それをもとに、ありとあらゆる着想を巡らせて考えるのが大好き！とっさの判断力に優れ、ここ一番の勝負強さはバツグン、努力家で何事も最後までやり抜く粘り強さも持っています。でも基本は利益を第一に考える合理主義者です。,10,発想が豊かなあなたは、恋愛に関しても演出を大切にし相手をアッと驚かせるので、意外性のペガサスがピッタリ。自由気ままさが心地よいはず。,5,お互いに強い信頼関係で結ばれている。時に良きライバルとしてぶつかり合うこともあるが、次の日には何事もなかったかのように付き合える。,11,取引先に狼がいれば最高。用件だけで話は済むし、彼らの関係に世間話など必要ない。白黒をハッキリさせたいという共通点が有効に活かされる。
9,f,あなたは、とっても尽くす女の子。周囲に対しても女性らしい気遣いで、楽しい雰囲気を作ろうとします。また人当たりは柔らかいのに、サッパリした気性の持ち主。大変な努力家で、仕事ばかりでなく趣味や遊びにも研究熱心です。多少そそっかしい面もありますが、理解も早く頭もいい人。でも、努めて明るく振る舞っていても、心の中はいつも孤独をかかえています。そんなあなたには、利害関係のない信頼できる友人を持つことが大切。自分の気持ちを表現することが苦手なので、誤解を受けやすいみたい。時にはワガママになってみるのもいいかも。,5,魅力的なあなたは、細かな気遣いで虎の彼を魅了。誰でも気軽に付き合えるのに、恋愛では一途になり一生懸命に尽くす。何でも言い合える関係に。,3,友人としては最高。とても気が合うので、異性だと周りからは二人の関係を怪しまれるくらいだが、不思議なことに恋愛には発展しにくい。,1,同じ猿同士でとてもわかりやすい関係なので、ビジネスには最高。あまり近づきすぎると相手の欠点が目に付いてくるので、ほどほどに。
10,m,キミは、ものわかりが良く、世話好きな人気者。おとなしい印象がありますが、内面は猛烈なファイトの持ち主です。障害にぶつかっても決してくじけず、高いハードルにも果敢にチャレンジする人。動と静が効果的に働いているタイプです。粘り強さと頭の良さから、先を見通して長期的な展望で仕事をこなすことも可能。夢や理想に向かって、長期的な努力もします。ただ、最大の難点は先走りしすぎること！天性のカンを頼りに生きているため、良い時と悪い時の差が激しいのが特徴です。テキパキとやっていても、気が付くと一人で意固地になっている可能性も。,12,感性も豊かなあなたは相手を放っておけないので、こじかの彼女だと自分を犠牲にしてでも面倒を見られる。彼女もそんなあなたから離れられない。,9,自分を飾らないあなたは建前では付き合えないので、時には人間関係のトラブルに見まわれる。ひつじなら潤滑油的役割を演じてくれて強い見方に。,8,実利的な面で協力関係。個性の違いが良い意味で補い合うが、一線を超えるとうまくいかないので注意が必要。仕事上の付き合いと割り切ること。
10,f,一見おとなしい印象を与えるあなた。しかし、行動的で時々人の意表をつくような大胆なことをします。白黒をハッキリさせる性格なので、言うべきことはしっかり言ってしまっても周りから信頼される得なタイプ。でも、プライドが高く、少しでも傷つけられると激しく怒りまくってしまう傾向もアリ。姉御肌なので、友人のプライドが傷つけられても自分のことのように怒ってしまいます。まるで表と裏に正反対の性格を持っているような感じ、たまに隠された面がでてきます。モノを見る目は鋭く、簡単には人の話を信じない疑い深い面も。,10,あなたは生活力も旺盛でみんなから頼りにされ、年下の男性からも人気がある。甘えん坊のペガサスから見ると理想的な存在。相性もバッチリ。,11,淡白で素直な性格は、狼と共通している。お互いに本音で生きているから、思ったことはハッキリと言い合うので、友人としては最高の相性。,6,たぬきのおせっかいが過ぎない限り、友人のような関係が成り立ち、協力的に物事が進む。相手が異性の場合は、恋心が芽生えることもある。
